City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Coquimbo,CL,66.2,clear sky,-29.95,-71.34,Hotel Liverpool
229,Pulaski,US,73.0,overcast clouds,37.05,-80.78,Jackson Park Inn
232,Sumoto,JP,77.0,scattered clouds,34.35,134.9,島花
233,Sinnamary,GF,82.99,clear sky,5.38,-52.96,Hôtel du fleuve
235,Tala,MX,79.0,broken clouds,20.65,-103.7,Hotel de La Paz
237,Tortoli,IT,86.0,scattered clouds,39.93,9.66,La Corte
240,Farmington,US,86.0,clear sky,36.73,-108.21,Casa Blanca Inn & Suites
242,Ponta Do Sol,BR,77.77,few clouds,-20.63,-46.0,Hotel Escarpas do Lago
245,Sobotin,CZ,78.01,light rain,50.01,17.09,Hotel Reoneo
247,Caravelas,BR,74.53,light rain,-17.73,-39.27,Pousada dos Navegantes
249,Kemi,FI,64.4,clear sky,65.74,24.56,Scandic Kemi
251,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Mediterrâneo
253,East London,ZA,62.6,scattered clouds,-33.02,27.91,Majestic Boutique Hotel
255,Havre-Saint-Pierre,CA,71.6,clear sky,50.23,-63.6,Complexe MV
256,Hasaki,JP,73.4,broken clouds,35.73,140.83,ビジネスホテル　いづや
259,Marawi,PH,75.0,light rain,8.0,124.29,Marawi Resort Hotel
267,Warmbad,DE,82.0,scattered clouds,50.67,13.08,Brunnenfee
270,Bonavista,CA,62.01,clear sky,48.65,-53.11,Harbour Quarters Inn
271,Pisco,PE,71.6,overcast clouds,-13.71,-76.2,Hospedaje Wendy
272,Goderich,CA,75.99,overcast clouds,43.74,-81.71,Comfort Inn & Suites
273,Kang,BW,63.19,clear sky,-23.67,22.79,Nkisi Guest House
275,Bafq,IR,69.85,clear sky,31.6,55.4,هتل رستوران علمدار
278,Vila Velha,BR,86.0,few clouds,-3.71,-38.6,Triângulo Motel
279,Hamilton,CA,78.01,broken clouds,43.26,-79.87,Sheraton
280,Boyolangu,ID,67.33,broken clouds,-8.09,111.9,Hotel Puspita
283,South River,US,75.0,scattered clouds,40.45,-74.39,Comfort Suites
284,Tsybli,UA,75.2,clear sky,49.99,31.57,Вотчина
285,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Round House Inn
288,Belmonte,PT,81.0,moderate rain,40.36,-7.35,Município De Belmonte
290,Vila Franca Do Campo,PT,75.2,scattered clouds,37.72,-25.43,Vinha d'Areia Beach Hotel
297,Lorengau,PG,78.13,light rain,-2.02,147.27,Seeadler Bay Hotel
300,Kenora,CA,66.2,mist,49.76,-94.48,Travelodge
305,Samfya,ZM,73.27,broken clouds,-11.37,29.56,waterfront hotel
306,Taltal,CL,71.65,clear sky,-25.41,-70.49,San Martin Hotel
307,Ballina,IE,61.0,broken clouds,54.11,-9.15,Ballina Manor Hotel
308,Roccastrada,IT,89.01,few clouds,43.01,11.17,La Melosa Resort
310,Montrose,GB,71.6,few clouds,56.71,-2.47,George Hotel
311,Pandan,PH,81.37,moderate rain,11.72,122.09,Pandan Beach Resort
312,Vanimo,PG,81.01,overcast clouds,-2.67,141.3,CBC Guesthouse
320,Koumac,NC,69.67,clear sky,-20.56,164.28,Le Grand cerf
